Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 3348923,      264.540,
Traffic, 3571708,      266.720,
BasketballDrive, 704136805,    15911.530,
BQTerrace, 964127564,    17724.050,
Cactus, 790684038,    16080.790,
Kimono, 309739535,     8812.950,
ParkScene, 367574973,     8902.520,
BasketballDrill, 351782,       44.040,
BQMall, 352317,       43.770,
PartyScene, 460455,       44.050,
RaceHorsesC, 384116,       43.530,
BasketballPass, 86023,       10.950,
BlowingBubbles, 103862,       11.030,
BQSquare, 87107,       10.810,
RaceHorses, 109046,       10.980,
FourPeople, 588827,       98.830,
Johnny, 553604,       97.830,
KristenAndSara, 566292,       98.480,
BasketballDrillText, 340605,       43.550,
ChinaSpeed, 473883,       82.490,
SlideEditing, 533187,       95.170,
SlideShow, 90164,       84.750,
